date,hospital_id,hospital_type,location,daily_admissions,daily_discharges,emergency_cases,outpatient_visits,flu_cases,covid_cases,respiratory_cases,beds_occupied,icu_beds_occupied,oxygen_units_used,ventilators_used,temperature,rainfall,air_quality_index,festival_or_event,next_day_beds_needed,next_day_icu_needed,next_day_oxygen_needed
2026-02-12,4,medium,urban,,20,12,158,9,6.0,10,61,16,64,1,26.0C,22.343709760021945,179,0,50.0,5.0,32.0
2025-07-04,2,medium,urban,21.0,18,12,66,12,8.0,27,63,9,56,7,35.0,10.585718607398542,150,1,44.0,17.0,73.0
2026-02-25,2,small,rural,43.0,17,22,116,23,5.0,16,108,16,48,5,nan,29.29041971076221,140,0,86.0,10.0,44.0
2025-07-12,4,small,rural,,25,6,60,17,10.0,12,115,7,44,5,nanC,7.838021432581965,116,0,92.0,21.0,77.0
2025-12-31,4,small,urban,41.0,44,21,66,23,12.0,18,84,8,30,4,25.0,21.134330982871287,185,1,105.0,22.0,73.0
2025-05-09,5,small,rural,56.0,47,13,70,17,11.0,27,111,23,45,4,23.0,17.11975616479298,135,1,88.0,8.0,59.0
2026-03-27,3,small,urban,21.0,48,22,86,19,11.0,12,45,7,78,1,24.0,41.27199478743144,175,1,96.0,23.0,26.0
2026-03-02,2,small,rural,,29,15,71,17,11.0,18,64,15,43,6,38.0,12.272723126946522,171,0,113.0,8.0,30.0
2025-04-22,3,small,rural,49.0,34,13,186,17,9.0,12,101,15,42,8,27.0,3.848459150400868,191,0,51.0,13.0,79.0
2026-01-24,1,small,urban,54.0,47,16,69,19,8.0,18,79,22,55,5,31.0,45.83780015593734,184,0,112.0,11.0,26.0
2025-12-19,1,medium,rural,,31,9,93,5,14.0,16,43,8,44,2,35.0,47.98728607309846,162,1,84.0,21.0,32.0
2025-01-14,2,Small ,rural,39.0,34,6,157,18,4.0,25,93,17,33,3,27.0,43.38510489596195,54,0,43.0,15.0,47.0
2025-05-13,4,medium,rural,44.0,38,24,181,19,9.0,14,60,6,60,1,24.0C,29.121753844414798,60,1,105.0,19.0,20.0
2025-08-24,2,small,Urban,53.0,35,24,88,5,12.0,24,94,24,35,7,33.0,33.8562131741282,54,0,76.0,17.0,73.0
2025-01-27,3,small,rural,42.0,26,8,136,6,9.0,5,42,24,59,7,35.0C,1.7188429175862607,138,0,119.0,19.0,51.0
2026-05-13,1,medium,urban,58.0,18,6,102,5,,11,116,18,33,3,30.0,25.16102074293172,72,1,60.0,20.0,67.0
2025-09-20,5,small,urban,47.0,39,10,148,15,13.0,8,115,24,61,8,39.0,46.80882820832526,56,0,40.0,23.0,29.0
2025-06-29,1,Small ,urban,44.0,27,16,58,23,12.0,25,65,21,64,1,35.0C,35.61101025885793,53,0,59.0,13.0,32.0
2025-02-02,4,small,urban,59.0,22,8,192,21,6.0,19,101,22,65,2,31.0,6.670816776160354,64,1,96.0,22.0,76.0
2026-02-03,4,medium,urban,39.0,41,8,145,8,13.0,18,102,22,70,8,21.0,16.770340674817348,155,0,107.0,9.0,27.0
2025-10-25,3,small,urban,46.0,33,14,165,21,7.0,22,74,15,23,9,29.0,6.787292654995053,51,0,99.0,23.0,61.0
2026-02-10,5,small,rural,48.0,18,18,53,13,9.0,24,61,11,61,2,28.0,4.957305613881196,138,0,104.0,13.0,36.0
2025-08-01,3,MEDIUM,urban,44.0,49,8,133,17,3.0,12,91,19,38,5,38.0,48.41634800496275,83,0,118.0,15.0,37.0
2025-12-22,3,medium,rural,,37,23,117,17,2.0,26,105,15,58,7,26.0C,20.33868742860026,59,0,70.0,8.0,47.0
2026-05-06,1,medium,rural,52.0,23,16,88,21,14.0,17,68,20,67,2,20.0,41.13287342402137,187,0,106.0,18.0,51.0
2026-01-30,5,small,urban,30.0,37,23,196,12,7.0,21,50,16,35,8,25.0,9.615788639217527,189,1,82.0,12.0,66.0
2025-12-11,2,small,urban,51.0,22,11,180,17,5.0,9,76,20,50,2,20.0,0.833577529981655,128,0,118.0,22.0,69.0
2025-03-12,1,MEDIUM,urban,40.0,47,12,112,16,5.0,26,98,5,58,6,31.0,48.721965531923765,123,0,98.0,15.0,72.0
2025-07-07,1,medium,urban,49.0,48,6,100,12,,24,97,12,47,7,nan,25.03097661669655,146,0,66.0,18.0,36.0
2026-04-15,4,small,rural,30.0,46,20,148,13,1.0,17,51,17,46,9,21.0,46.824666565511286,93,0,52.0,12.0,35.0
2026-02-18,4,medium,urban,22.0,32,5,130,24,5.0,24,115,11,55,4,nan,35.52109075062059,82,0,53.0,16.0,44.0
2026-03-20,3,medium,RURAL ,26.0,15,16,120,21,0.0,6,81,9,78,2,32.0,0.9825741373423902,185,0,93.0,14.0,27.0
2025-12-02,2, medium,rural,50.0,20,5,117,22,1.0,12,110,14,42,7,nan,39.81953613098545,98,1,89.0,11.0,48.0
2025-01-20,4,small,rural,53.0,20,5,174,17,12.0,9,71,8,47,1,38.0,5.698294355962058,118,0,98.0,13.0,70.0
2025-10-26,4,small,rural,32.0,24,9,114,24,2.0,28,99,23,61,5,29.0,48.87190921020061,103,0,45.0,9.0,64.0
2026-05-03,3,small,rural,52.0,23,22,62,8,10.0,24,110,5,54,8,31.0,28.342921664704733,175,0,91.0,14.0,67.0
2025-03-15,2,medium,urban,,22,15,168,8,0.0,19,78,19,65,7,32.0,41.09196613764512,60,0,67.0,14.0,33.0
2025-05-18,2,small,rural,,37,21,199,10,11.0,16,45,11,42,7,22.0,29.38992246858424,189,1,58.0,14.0,62.0
2025-08-16,2,medium,rural,53.0,39,24,154,22,10.0,7,49,20,44,7,29.0,9.859149098403314,172,0,91.0,23.0,35.0
2025-11-08,3,small,urban,57.0,46,16,100,12,0.0,23,98,17,54,1,36.0,8.3269256748635,153,0,103.0,22.0,56.0
2025-03-11,4,Small ,rural,45.0,29,9,120,5,4.0,12,47,21,54,6,30.0,41.81892887051997,133,1,98.0,5.0,58.0
2026-05-14,1,small,urban,45.0,31,7,88,18,14.0,29,60,20,67,2,26.0,38.2574424930632,186,1,103.0,18.0,50.0
2025-07-03,2,medium,urban,35.0,48,8,90,5,9.0,27,106,6,39,5,23.0,45.7417474998439,164,0,63.0,9.0,56.0
2025-07-30,3,small,rural,37.0,40,23,140,23,0.0,12,77,15,52,7,39.0,45.34927592191219,73,1,54.0,11.0,43.0
2025-04-21,1,medium,RURAL ,56.0,15,18,150,17,12.0,8,66,22,32,7,28.0,22.965184410653688,66,0,101.0,15.0,42.0
2025-05-17,4,medium,Urban,34.0,45,18,53,9,1.0,14,56,24,70,8,30.0,2.850119377596699,196,1,45.0,11.0,42.0
2025-02-23,5,small,urban,44.0,38,5,84,23,0.0,23,81,14,37,1,39.0,47.14913920355679,106,1,88.0,6.0,21.0
2025-09-15,5,small,rural,33.0,32,19,87,21,3.0,9,97,20,60,5,20.0,31.53176474915402,132,0,95.0,23.0,67.0
2025-05-31,1,small,urban,34.0,15,11,55,15,3.0,14,91,18,76,7,24.0,29.037799952782954,108,0,97.0,20.0,58.0
2025-03-19,4, medium,rural,,28,7,169,23,2.0,19,41,14,63,7,27.0,32.509358322282665,162,0,56.0,8.0,43.0
2025-02-05,5,Small ,rural,58.0,32,20,166,21,5.0,20,117,24,67,9,31.0,8.167722487157825,118,1,71.0,15.0,22.0
2025-03-21,4,medium,rural,,19,9,79,16,4.0,29,69,16,60,1,nan,45.59092847697235,56,1,52.0,23.0,20.0
2025-01-05,5,medium,urban,21.0,23,22,100,23,10.0,17,78,8,62,2,29.0,24.600086471604136,62,1,107.0,6.0,25.0
2025-08-12,4,small,urban,58.0,20,10,192,10,5.0,24,62,6,68,1,28.0,39.77891881287932,165,0,103.0,24.0,79.0
2025-09-30,1,medium,urban,44.0,18,11,112,9,9.0,27,60,15,50,9,22.0,36.05273304489359,97,0,118.0,10.0,34.0
2025-06-25,2,medium,rural,,47,14,155,17,3.0,11,73,11,40,6,38.0,47.8985533241227,165,0,106.0,18.0,45.0
2025-06-08,1,medium,urban,49.0,26,24,191,12,2.0,16,81,10,70,8,33.0,42.93000534912491,99,1,87.0,7.0,66.0
2026-02-14,4,medium, rural,39.0,36,6,122,12,0.0,14,116,15,26,3,25.0,11.023524049968492,142,1,42.0,19.0,46.0
2026-05-09,1,small, rural,,30,19,175,24,0.0,16,86,21,71,5,32.0C,22.97814887527609,141,0,85.0,22.0,66.0
2025-08-08,1,Small ,urban,31.0,35,10,133,5,0.0,5,86,5,20,3,21.0,4.650870463133749,106,1,107.0,19.0,55.0
2025-05-20,5,small,urban,51.0,37,11,116,21,,17,95,18,62,6,28.0,0.87491069936943,150,0,67.0,18.0,42.0
2026-03-04,5,medium,urban,44.0,49,14,116,9,2.0,28,117,22,45,3,31.0,38.841068362014056,103,1,97.0,8.0,70.0
2025-01-24,1,medium,RURAL ,36.0,28,22,197,18,,21,92,23,51,2,21.0,32.32036876140445,125,1,106.0,10.0,66.0
2025-06-27,1,medium,urban,48.0,27,12,103,8,11.0,14,63,19,59,1,21.0,28.989642191647757,190,1,112.0,16.0,67.0
2025-10-06,3, medium,urban,57.0,36,22,167,8,9.0,9,101,18,28,8,32.0C,7.304828277066012,196,1,86.0,24.0,45.0
2025-10-23,5,Small ,Urban,53.0,39,24,118,15,,27,52,18,48,8,38.0C,25.14377600327925,150,0,70.0,16.0,32.0
2025-01-11,4,medium,rural,22.0,22,11,199,24,0.0,17,116,17,37,4,20.0,23.19927087201904,84,0,99.0,23.0,32.0
2025-02-13,2,medium,urban,56.0,24,14,164,5,6.0,26,70,13,58,2,31.0,43.3999795947545,109,0,108.0,14.0,49.0
2025-07-16,3,medium,urban,48.0,39,13,176,12,1.0,10,86,12,25,4,34.0C,15.473128822309118,115,1,73.0,17.0,30.0
2026-03-05,5,small,urban,36.0,16,12,103,20,13.0,14,97,8,70,9,35.0C,33.67098644557164,182,1,80.0,21.0,53.0
2025-03-26,1, medium,urban,,20,15,138,20,6.0,17,94,15,41,2,31.0,35.0749550732583,70,0,79.0,15.0,42.0
2025-04-07,5,small,urban,28.0,24,10,169,13,5.0,27,48,24,52,8,33.0C,23.89336774565679,152,1,93.0,10.0,38.0
2025-10-15,5,small,urban,,38,23,68,6,7.0,14,45,24,24,5,25.0,13.48150043835914,196,1,74.0,19.0,74.0
2025-05-03,5,small,urban,38.0,40,15,154,16,9.0,16,95,6,27,5,29.0C,45.55602506959788,75,0,45.0,20.0,63.0
2025-08-14,1,small,rural,30.0,43,8,51,13,2.0,15,106,10,62,9,nan,6.516021658616794,91,0,79.0,12.0,53.0
2026-03-25,1, medium,Urban,57.0,39,17,85,20,4.0,10,98,11,51,7,22.0,0.3545906387185493,91,1,55.0,19.0,41.0
2025-12-06,4,small,rural,25.0,19,22,158,22,10.0,7,75,21,70,9,22.0C,30.21522099107394,103,1,52.0,13.0,24.0
2025-02-22,4,small,rural,56.0,45,20,121,19,11.0,18,84,24,66,6,29.0C,19.252902785948084,72,1,81.0,14.0,37.0
2026-01-15,5,medium,urban,51.0,15,6,166,12,4.0,9,108,20,44,4,30.0,22.404274364153824,181,1,45.0,11.0,63.0
2026-03-23,3, medium,rural,55.0,49,20,116,21,4.0,18,55,11,39,8,23.0,17.078519351578397,82,0,57.0,19.0,67.0
2025-01-13,5,small,rural,31.0,42,9,118,22,2.0,21,53,6,62,8,32.0,46.38728665377037,143,0,93.0,17.0,33.0
2026-03-01,3,medium,rural,35.0,23,23,163,9,0.0,15,67,16,65,2,29.0C,32.40151590276071,80,0,64.0,15.0,43.0
2026-05-10,5,small, rural,58.0,30,16,104,7,2.0,16,85,22,66,2,22.0C,24.94839721103965,119,1,91.0,16.0,54.0
2025-08-22,4,small,rural,48.0,37,9,167,13,14.0,21,44,16,38,4,36.0,32.79103836636964,181,0,92.0,16.0,44.0
2025-06-20,1,medium, rural,56.0,40,16,146,16,8.0,17,95,16,28,1,27.0,37.37603183732524,187,1,115.0,20.0,72.0
2025-01-22,5,medium,Urban,41.0,40,22,115,22,2.0,7,102,11,75,2,20.0,41.71623978746993,65,0,77.0,23.0,46.0
2025-04-06,3,small,urban,53.0,25,14,135,11,2.0,12,91,6,78,1,21.0C,18.0029950965363,52,1,48.0,24.0,52.0
2026-04-23,1,small,rural,41.0,48,7,172,21,14.0,19,119,17,30,9,22.0,2.4930073199582123,152,0,75.0,11.0,61.0
2025-11-06,5,small,urban,55.0,42,13,53,12,11.0,14,45,15,72,3,nan,31.484179762960142,55,0,109.0,13.0,30.0
2025-09-11,3,small,urban,32.0,49,5,111,17,,15,103,12,40,7,23.0,5.351456710551905,116,1,100.0,24.0,77.0
2026-02-07,1,small,urban,22.0,17,12,192,24,13.0,11,71,14,35,7,36.0,27.14702222446639,126,1,109.0,9.0,71.0
2025-03-18,1,small,rural,,28,23,191,24,,8,55,6,64,2,nanC,6.41749633073474,176,0,41.0,14.0,63.0
2025-08-30,1,small,rural,42.0,29,21,142,9,7.0,20,98,23,38,1,27.0C,44.54869423453519,112,1,41.0,23.0,52.0
2025-08-05,4,small,rural,34.0,16,14,176,19,9.0,6,60,24,43,7,nan,15.079343493677577,67,0,44.0,18.0,64.0
2025-11-02,4,small,urban,47.0,31,7,137,9,10.0,13,65,15,67,5,38.0C,18.91578035826297,142,1,86.0,21.0,65.0
2025-01-18,5,medium,Urban,49.0,30,11,140,19,5.0,11,64,24,79,8,37.0,40.39786640545095,173,1,116.0,19.0,76.0
2026-01-21,1,medium,rural,48.0,32,20,198,18,7.0,12,71,16,68,5,34.0,24.009175763094397,136,1,57.0,16.0,38.0
2025-05-25,4,medium,rural,42.0,22,22,121,7,6.0,12,107,6,62,4,37.0C,17.48071994038611,179,0,88.0,16.0,37.0
2025-12-30,5,medium,urban,20.0,30,5,188,23,4.0,20,112,23,37,2,37.0,0.3731570208609702,95,1,84.0,8.0,30.0
2026-01-18,1,medium,rural,45.0,34,14,103,23,11.0,19,43,8,54,7,39.0,31.3401315032422,84,0,62.0,15.0,74.0
2026-04-02,5,small,Urban,27.0,29,12,182,8,13.0,27,99,16,27,6,32.0,31.127349523114084,172,0,116.0,19.0,75.0
2026-04-21,5,MEDIUM,rural,34.0,19,10,110,24,6.0,12,47,13,60,9,34.0,14.457516722707547,145,1,108.0,18.0,78.0
2025-10-20,1,medium,rural,48.0,38,23,162,8,0.0,15,54,8,37,4,36.0,33.14298938173329,79,1,93.0,16.0,66.0
2025-05-10,5,small,rural,35.0,28,12,100,21,,7,88,8,59,8,31.0C,27.323818051268823,102,1,50.0,6.0,40.0
2025-07-06,5,medium,urban,53.0,20,14,70,8,4.0,28,106,24,72,4,23.0,37.948841592701534,195,1,97.0,12.0,47.0
2026-02-17,5,Small ,RURAL ,24.0,26,16,130,10,8.0,9,99,24,53,7,32.0C,46.329269160919054,192,0,115.0,11.0,55.0
2025-02-11,1,MEDIUM,urban,53.0,17,10,148,16,13.0,5,88,17,43,3,24.0C,5.335590955117714,53,1,98.0,14.0,67.0
2025-07-05,4,medium,urban,54.0,33,7,137,17,9.0,10,44,17,73,2,31.0,7.212001055905176,198,0,106.0,24.0,72.0
2026-01-17,5,medium,urban,42.0,35,6,60,20,3.0,21,95,13,74,5,35.0C,10.21282339681982,61,1,43.0,8.0,54.0
2026-05-11,1,medium,urban,21.0,47,16,76,12,2.0,10,91,16,54,4,nanC,3.610659266759397,197,1,58.0,21.0,71.0
2025-01-06,2,small,rural,20.0,20,9,131,21,12.0,26,107,6,25,2,39.0C,15.511764187235238,196,1,98.0,20.0,66.0
2026-01-02,4,medium,Urban,37.0,26,15,131,11,0.0,11,47,24,39,2,28.0,22.134685098371797,162,0,110.0,15.0,24.0
2025-12-08,4,Small ,urban,49.0,46,24,102,5,8.0,17,109,14,74,3,32.0C,20.869147090023667,89,1,97.0,14.0,50.0
2025-07-14,4,medium, rural,58.0,38,20,188,16,5.0,9,83,23,69,6,31.0C,29.68423099543666,149,0,65.0,18.0,60.0
2026-04-18,2,small,rural,36.0,37,17,191,10,11.0,22,56,17,26,1,21.0C,10.04556698427612,128,0,102.0,7.0,63.0
2026-03-29,5,medium,urban,27.0,35,12,192,10,13.0,28,86,14,28,6,35.0C,7.983317468357537,155,0,87.0,19.0,64.0
2025-11-14,2,small,RURAL ,51.0,39,7,79,17,10.0,12,117,8,32,3,25.0C,6.018907475276691,66,1,52.0,18.0,31.0
2025-11-26,2,small,urban,21.0,46,15,126,7,1.0,20,71,23,79,9,31.0,18.07700938814783,116,1,87.0,10.0,42.0
2025-03-29,1,small, rural,41.0,42,23,127,7,12.0,19,112,7,73,7,35.0,21.34473639116513,90,0,91.0,16.0,38.0
2026-01-14,2,medium,urban,34.0,34,9,140,17,3.0,24,62,18,34,6,21.0,33.46341458754175,167,0,108.0,20.0,44.0
2026-02-26,4,medium,rural,31.0,30,15,118,8,4.0,28,86,10,44,3,37.0C,5.474118303449699,126,0,69.0,9.0,74.0
2025-10-01,4,small,rural,24.0,21,13,72,22,0.0,28,118,10,34,4,29.0,12.857617555454793,74,1,61.0,6.0,23.0
2026-05-08,4,small,Urban,45.0,21,6,169,15,13.0,13,54,12,22,1,35.0,27.100764923986304,125,0,86.0,21.0,71.0
2025-12-01,4,medium,urban,59.0,47,22,71,21,11.0,16,56,10,40,4,36.0C,21.603364253330888,88,1,110.0,14.0,42.0
2025-01-31,3,small,rural,,39,15,96,21,,29,111,13,52,8,22.0,14.632754883370392,177,1,111.0,8.0,23.0
2026-04-07,2, medium,rural,50.0,42,8,153,19,2.0,29,66,7,78,8,nan,20.01783134199153,68,0,66.0,12.0,22.0
2025-04-26,5,medium,urban,38.0,29,8,57,12,9.0,17,101,6,35,6,30.0,21.065044081668237,74,1,50.0,16.0,47.0
2025-12-29,4,small,rural,29.0,45,11,147,16,5.0,27,70,12,54,8,23.0,25.900767445425988,106,0,112.0,23.0,37.0
2025-03-10,4, medium,rural,,35,5,77,9,13.0,6,111,16,38,4,23.0,36.26631953679391,83,1,47.0,21.0,54.0
2026-01-03,3,small,urban,33.0,31,13,153,19,9.0,20,110,15,24,6,33.0,36.61096031561112,188,1,96.0,18.0,38.0
2025-07-18,5,small,rural,29.0,29,8,94,9,8.0,7,89,24,76,6,24.0,20.27358381652092,192,0,51.0,7.0,57.0
2026-03-31,4,medium,urban,,18,5,190,5,5.0,16,81,7,20,6,31.0C,30.814537417707232,162,1,115.0,10.0,48.0
2025-07-23,1,small,Urban,24.0,35,18,121,13,12.0,22,40,6,33,6,32.0C,28.229704064516078,164,1,105.0,17.0,21.0
2025-05-19,2,medium,Urban,45.0,34,7,125,6,7.0,14,58,14,62,3,21.0C,42.0174088794254,64,0,95.0,18.0,62.0
2025-05-06,4,small,urban,40.0,49,21,101,8,0.0,10,76,11,74,8,37.0,2.438315940657021,121,0,103.0,6.0,41.0
2025-09-13,3,medium, rural,28.0,30,24,176,16,6.0,7,93,12,25,1,29.0,45.50980620723482,160,1,112.0,14.0,51.0
2025-12-03,1,medium,rural,53.0,18,11,118,17,1.0,26,89,11,48,9,34.0,29.77074008100542,95,0,104.0,21.0,33.0
2025-12-04,4,small,urban,43.0,27,10,98,24,,24,104,21,33,7,28.0C,44.32977207511992,87,1,71.0,22.0,45.0
2026-04-27,4,medium,rural,29.0,25,6,194,19,5.0,27,115,10,69,2,nanC,32.25750416504517,165,1,69.0,6.0,55.0
2025-12-14,1,small,rural,34.0,36,18,158,14,10.0,6,79,24,63,8,20.0,10.575337464088404,159,0,98.0,5.0,74.0
2025-07-28,4,medium,urban,49.0,46,23,152,14,3.0,18,88,24,72,1,23.0,5.173753182329232,137,0,101.0,16.0,54.0
2025-02-25,1,small,urban,,18,22,79,23,11.0,6,59,6,29,9,28.0C,41.748689284148114,142,0,116.0,21.0,74.0
2025-01-07,3,small,urban,24.0,23,24,107,14,2.0,5,98,20,66,6,36.0,9.088179888059711,189,1,101.0,22.0,24.0
2026-05-12,3,small,urban,57.0,18,13,167,18,9.0,23,58,21,71,3,24.0C,34.221768053465375,182,0,116.0,18.0,33.0
2025-02-03,1,small, rural,,43,6,70,22,1.0,25,96,22,76,1,21.0C,34.58217009866591,85,1,45.0,9.0,53.0
2025-07-19,4,small,urban,49.0,15,14,50,24,12.0,19,51,7,57,5,34.0,49.20447319832571,130,0,43.0,9.0,25.0
2025-12-17,2,medium,rural,48.0,37,9,176,13,3.0,15,55,16,64,4,26.0,25.30223462059183,58,1,101.0,6.0,21.0
2026-04-16,2,small,urban,41.0,43,5,121,13,8.0,29,52,12,35,7,32.0,41.27674207602078,125,1,82.0,20.0,57.0
2026-03-14,3,small,rural,22.0,39,18,96,21,12.0,22,84,11,67,4,39.0,34.23625819405023,111,0,46.0,23.0,40.0
2025-08-19,2,small,urban,23.0,48,8,59,9,,19,114,7,48,7,38.0,46.18656979383881,155,1,100.0,7.0,38.0
2025-02-26,4,MEDIUM,urban,42.0,42,12,127,21,13.0,13,116,21,74,5,33.0,35.51757503561661,69,1,93.0,20.0,64.0
2025-06-09,3,small,urban,58.0,41,22,84,16,14.0,23,87,7,66,7,29.0,48.13662919305696,191,0,79.0,17.0,59.0
2025-02-17,5,small, rural,40.0,47,21,169,6,2.0,16,80,23,24,2,nanC,5.6198513588006485,63,1,70.0,14.0,44.0
2026-01-27,5,small,rural,34.0,48,10,119,5,,25,45,17,38,6,31.0,35.9349632986398,107,0,102.0,10.0,68.0
2025-04-14,2,small,urban,20.0,26,6,60,20,14.0,21,71,13,45,2,33.0,6.262561554810397,191,0,54.0,14.0,54.0
2025-08-18,4,medium,urban,26.0,19,11,124,22,14.0,7,111,5,53,2,25.0,8.342428910278882,185,0,114.0,7.0,48.0
2026-02-16,2,small,rural,38.0,36,12,165,11,,19,48,6,29,1,nanC,20.31661154818839,77,1,99.0,24.0,53.0
2025-09-03,3,small,urban,54.0,36,16,89,18,8.0,10,90,15,63,9,23.0C,8.180810206913813,176,0,69.0,17.0,59.0
2025-03-20,4,small,urban,30.0,16,21,110,23,5.0,24,56,8,43,1,32.0C,49.12412903006239,129,1,69.0,16.0,60.0
2025-12-26,5,medium,urban,31.0,19,22,174,15,,21,63,22,25,4,27.0,0.9986466289014062,190,0,54.0,13.0,22.0
2026-01-01,5,small,rural,45.0,30,6,148,17,4.0,15,105,22,73,3,28.0,35.90340806004304,59,1,47.0,24.0,39.0
2025-02-01,4,medium,rural,28.0,33,24,87,19,11.0,7,111,8,23,6,27.0,27.27139751058565,126,0,101.0,22.0,65.0
2025-04-08,2,medium,urban,45.0,17,19,176,17,12.0,8,93,10,38,2,21.0,17.76419871184613,104,1,40.0,14.0,47.0
2025-10-17,4,small,rural,,40,14,175,17,2.0,10,53,11,24,1,32.0C,49.96751502361001,172,1,111.0,15.0,39.0
2026-03-09,4,small,urban,46.0,32,12,175,19,8.0,17,87,16,30,5,nan,16.54573828900976,164,1,49.0,10.0,57.0
2025-09-06,4,small,urban,43.0,28,23,61,17,1.0,22,115,24,37,2,32.0C,48.997772367913925,102,0,78.0,19.0,53.0
2025-06-30,1,medium,urban,32.0,45,9,137,13,3.0,19,59,13,32,9,nan,8.794514170933104,127,1,103.0,19.0,68.0
2026-02-15,2,medium,rural,25.0,29,7,121,11,,24,42,19,46,3,37.0,8.228302921466746,163,0,48.0,6.0,29.0
2025-04-29,1,small,urban,29.0,28,6,125,22,13.0,21,56,13,54,4,34.0,12.158999013211297,131,0,71.0,16.0,79.0
2026-02-19,1,small,rural,20.0,49,14,162,7,2.0,7,53,16,44,2,21.0,20.94618123964593,69,0,57.0,22.0,25.0
2025-04-09,2,medium,urban,21.0,28,20,65,22,7.0,24,40,14,47,6,32.0C,34.125586505810006,50,1,83.0,14.0,78.0
2026-02-06,5,medium,rural,46.0,25,19,124,21,3.0,22,44,5,47,7,31.0,31.577218933808016,147,1,71.0,14.0,35.0
2025-09-18,2,medium,urban,30.0,18,5,156,17,0.0,23,70,17,58,9,33.0,15.518544455406005,153,0,91.0,13.0,50.0
2025-04-17,3,small,rural,44.0,19,7,198,10,8.0,28,117,9,54,3,25.0,29.884116776172952,80,1,96.0,20.0,59.0
2025-07-01,3, medium,urban,37.0,25,7,86,15,0.0,19,103,19,68,7,32.0,11.76916309491788,58,1,49.0,16.0,42.0
2025-12-07,1,medium,urban,38.0,41,15,135,8,9.0,28,52,13,24,4,nan,31.50093403094137,141,1,109.0,14.0,74.0
2026-01-26,1,medium,urban,58.0,26,12,61,9,12.0,11,113,5,49,3,24.0,22.556503489892076,124,1,45.0,17.0,38.0
2025-12-05,5,medium,urban,54.0,16,19,190,24,5.0,10,71,22,45,1,34.0,20.54712761750549,185,1,75.0,21.0,70.0
2025-06-01,1, medium,urban,26.0,40,16,76,8,10.0,16,97,20,58,1,21.0,37.08420644959116,139,0,71.0,8.0,42.0
