date,admissions,icu_occupancy,general_occupancy,oxygen_usage_liters,avg_patient_age
2025-06-30,53,13,35,457,55
2025-07-01,46,15,33,506,69
2025-07-02,44,12,32,393,54
2025-07-03,52,16,44,451,59
2025-07-04,48,12,33,392,44
2025-07-05,52,15,37,448,59
2025-07-06,50,14,38,417,53
2025-07-07,47,17,33,434,64
2025-07-08,43,13,27,413,66
2025-07-09,40,13,28,300,80
2025-07-10,45,12,36,315,60
2025-07-11,51,13,30,341,58
2025-07-12,47,12,33,424,56
2025-07-13,39,12,23,276,51
2025-07-14,46,12,38,283,58
2025-07-15,47,14,25,418,52
2025-07-16,40,18,25,464,56
2025-07-17,45,16,33,382,68
2025-07-18,44,12,38,415,44
2025-07-19,38,15,26,327,66
2025-07-20,45,12,28,377,68
2025-07-21,46,7,41,436,53
2025-07-22,48,11,26,393,33
2025-07-23,48,8,22,421,48
2025-07-24,35,9,26,313,67
2025-07-25,37,11,23,281,54
2025-07-26,44,18,25,423,45
2025-07-27,44,14,34,365,49
2025-07-28,43,12,31,327,63
2025-07-29,60,20,39,536,60
2025-07-30,43,6,23,320,52
2025-07-31,46,14,36,392,51
2025-08-01,44,15,34,373,51
2025-08-02,43,8,29,419,45
2025-08-03,37,14,35,338,71
2025-08-04,43,13,24,364,51
2025-08-05,35,9,16,338,67
2025-08-06,37,12,22,384,70
2025-08-07,35,17,24,325,64
2025-08-08,38,11,27,323,50
2025-08-09,49,15,33,350,59
2025-08-10,28,7,21,184,54
2025-08-11,40,9,21,324,45
2025-08-12,28,10,26,207,58
2025-08-13,34,7,23,279,43
2025-08-14,41,12,34,351,66
2025-08-15,36,9,26,332,50
2025-08-16,30,10,23,251,57
2025-08-17,32,10,25,296,57
2025-08-18,38,14,28,326,52
2025-08-19,31,7,24,164,60
2025-08-20,36,9,31,259,50
2025-08-21,35,7,25,290,63
2025-08-22,31,7,25,203,41
2025-08-23,45,14,31,412,56
2025-08-24,37,13,33,391,74
2025-08-25,23,4,12,256,44
2025-08-26,34,12,32,278,48
2025-08-27,30,13,20,329,60
2025-08-28,37,12,18,321,56
2025-08-29,29,14,20,229,58
2025-08-30,32,7,18,241,59
2025-08-31,35,6,28,282,61
2025-09-01,36,5,21,286,66
2025-09-02,26,12,15,229,59
2025-09-03,30,10,11,263,52
2025-09-04,29,8,18,246,61
2025-09-05,28,9,7,259,73
2025-09-06,40,8,20,399,53
2025-09-07,33,17,26,327,45
2025-09-08,25,7,21,138,66
2025-09-09,36,11,27,178,53
2025-09-10,41,14,23,395,33
2025-09-11,36,12,24,237,63
2025-09-12,23,7,16,184,49
2025-09-13,28,6,13,179,54
2025-09-14,37,12,33,224,58
2025-09-15,27,13,23,256,56
2025-09-16,32,13,21,309,62
2025-09-17,34,14,23,260,50
2025-09-18,25,5,18,82,60
2025-09-19,30,6,10,227,52
2025-09-20,14,3,8,138,62
2025-09-21,25,7,14,138,61
2025-09-22,28,11,14,247,45
2025-09-23,23,1,14,194,65
2025-09-24,38,15,35,351,49
2025-09-25,22,6,18,192,63
2025-09-26,27,6,16,180,58
2025-09-27,30,5,23,314,73
2025-09-28,37,6,32,306,52
2025-09-29,22,9,20,185,51
2025-09-30,35,10,24,250,54
2025-10-01,30,5,17,232,51
2025-10-02,25,3,20,168,62
2025-10-03,32,8,24,263,38
2025-10-04,31,14,26,349,44
2025-10-05,27,7,22,160,44
2025-10-06,30,4,26,174,64
2025-10-07,28,7,16,311,72
2025-10-08,30,8,27,244,53
2025-10-09,33,1,24,247,53
2025-10-10,38,11,36,374,55
2025-10-11,24,6,13,173,66
2025-10-12,41,14,37,439,45
2025-10-13,20,11,14,203,57
2025-10-14,29,12,17,222,64
2025-10-15,33,9,20,388,60
2025-10-16,32,6,20,241,56
2025-10-17,27,15,21,266,65
2025-10-18,29,8,22,261,27
2025-10-19,28,8,16,303,61
2025-10-20,28,8,19,316,48
2025-10-21,35,11,35,299,36
2025-10-22,33,9,31,242,60
2025-10-23,27,6,21,252,68
2025-10-24,36,9,25,272,53
2025-10-25,33,9,23,381,64
2025-10-26,35,8,27,304,71
2025-10-27,35,8,19,279,68
2025-10-28,27,8,17,238,71
2025-10-29,29,7,11,179,62
2025-10-30,36,15,27,257,55
2025-10-31,35,2,27,357,38
2025-11-01,32,12,19,239,52
2025-11-02,33,13,30,228,46
2025-11-03,39,5,21,358,76
2025-11-04,30,7,13,314,53
2025-11-05,36,9,26,341,56
2025-11-06,32,5,27,321,60
2025-11-07,32,7,30,234,55
2025-11-08,39,8,25,260,71
2025-11-09,38,16,31,398,48
2025-11-10,38,14,26,306,56
2025-11-11,41,16,27,335,47
2025-11-12,35,12,28,363,41
2025-11-13,38,8,29,350,48
2025-11-14,33,8,15,303,54
2025-11-15,37,12,33,422,50
2025-11-16,35,6,31,265,48
2025-11-17,36,12,22,352,40
2025-11-18,39,10,29,334,54
2025-11-19,32,8,24,285,39
2025-11-20,47,16,34,475,62
2025-11-21,32,10,19,297,55
2025-11-22,31,8,18,290,40
2025-11-23,43,16,29,419,51
2025-11-24,42,9,35,338,47
2025-11-25,41,14,31,306,58
2025-11-26,41,14,26,296,68
2025-11-27,38,10,30,224,36
2025-11-28,34,11,9,391,56
2025-11-29,39,7,33,276,53
2025-11-30,36,13,16,294,61
2025-12-01,44,12,28,360,57
2025-12-02,39,10,21,346,47
2025-12-03,36,13,18,346,51
2025-12-04,39,9,33,374,47
2025-12-05,43,8,27,336,65
2025-12-06,38,6,28,314,55
2025-12-07,37,12,25,328,74
2025-12-08,43,9,32,353,54
2025-12-09,43,18,30,445,47
2025-12-10,40,5,21,364,39
2025-12-11,40,17,32,376,36
2025-12-12,44,13,28,407,39
2025-12-13,36,10,17,364,57
2025-12-14,37,9,23,323,60
2025-12-15,40,13,35,275,39
2025-12-16,43,12,34,385,63
2025-12-17,46,17,30,358,50
2025-12-18,52,15,34,415,56
2025-12-19,50,15,33,454,71
2025-12-20,45,12,41,444,63
2025-12-21,46,13,34,392,52
2025-12-22,41,13,30,363,46
2025-12-23,47,8,38,484,33
2025-12-24,46,9,33,403,47
2025-12-25,49,16,33,546,52
2025-12-26,44,13,29,402,45
2025-12-27,51,14,35,345,53
2025-12-28,56,16,39,513,55
2025-12-29,48,15,37,427,52
2025-12-30,51,13,35,497,48
2025-12-31,53,13,40,484,56
